ID;Title;Provincias;Municipios
5965;Centro de Desarrollo Rural Alcarria Conquense (CEDER Alcarria Conquense);CUENCA;Albalate de las Nogueras|Albendea|Alcantud|Alcohujate|Arandilla del Arroyo|Arrancacepas|Barajas de Melo|Bascuñana de San Pedro|Bolliga|Bonilla|Buciegas|Buendía|Canalejas del Arroyo|Cañaveras|Cañaveruelas|Caracenilla|Castejón|Castillejo del Romeral|Castillo Albaráñez|Cuevas de Velasco|Culebras|Fuentesbuenas|Garcinarro|Gascueña|Horcajada de la Torre|Huete|Jabalera|La Langa|La Peraleja|La Ventosa|Leganiel|Mazarulleque|Moncalvillo de Huete|Naharros|Noheda|Olmeda de la Cuesta|Olmedilla de Eliz|Pineda de Gigüela|Portalrubio de Guadamejud|Priego|Saceda del Río|Saceda Trasierra|Sacedoncillo|Salmeroncillos de Abajo|Salmeroncillos de Arriba|San Pedro Palmiches|Tinajas|Torralba|Torrejoncillo del Rey|Valdecañas|Valdecolmenas de Abajo|Valdecolmenas de Arriba|Valdemoro del Rey|Valdeolivas|Vellisca|Verdelpino de Huete|Villaconejos de Trabaque|Villalba del Rey|Villanueva de Guadamejud|Villar de Domingo García|Villar del Águila|Villar del Horno|Villar del Infantado|Villar del Maestre|Villarejo de la Peñuela|Villarejo de Sobrehuerta|Villarejo del Espartal|Vindel
5967;Federación para el Desarrollo de la Sierra y Mancha Conquense (ADESIMAN);CUENCA;Abía de la Obispalía|Albaladejo del Cuende|Alcázar del Rey|Almendros|Almonacid del Marquesado|Altarejos|Arcas|Arcos de la Cantera|Barbalimpia|Barchín del Hoyo|Belinchón|Belmontejo|Carrascosa del Campo|Cervera del Llano|Chillarón|Chumillas|El Acebrón|El Hito|Fresneda de Altarejos|Fuente de Pedro Naharro|Fuentelespino de Haro|Fuentesclaras de Chillarón|Horcajo de Santiago|Huelves|Huerta de la Obispalía|Jábaga|La Almarcha|Loranca del Campo|Montalbanejo|Montalbo|Mota de Altarejos|Navalón|Olmeda del Rey|Olmedilla del Campo|Palomares del Campo|Paredes|Parra de las Vegas|Piqueras del Castillo|Poveda de la Obispalía|Pozorrubio de Santiago|Puebla de Almenara|Rozalén del Monte|Saelices|San Lorenzo de la Parrilla|Solera de Gabaldón|Sotoca|Tarancón|Torrubia del Campo|Tribaldos|Uclés|Valdetórtola|Valera de Abajo|Valeria|Valparaíso de Abajo|Valparaíso de Arriba|Valverde de Júcar|Villar de Cañas|Villar de Olalla|Villar del Saz de Arcas|Villar del Saz de Navalón|Villarejo de Fuentes|Villarejo Seco|Villarejo-Periesteban|Villares del Saz|Villarrubio|Villaverde y Pasaconsol|Zafra de Záncara|Zarza de Tajo
5969;Asociación Desarrollo Rural Molina de Aragón-Alto Tajo;GUADALAJARA;Ablanque|Adobes|Alcolea del Pinar|Alcoroches|Algar de Mesa|Alustante|Anguita|Anquela del Ducado|Anquela del Pedregal|Arbeteta|Armallones|Baños de Tajo|Campillo de Dueñas|Canredondo|Castellar de la Muela|Castilnuevo|Checa|Chequilla|Ciruelos del Pinar|Cobeta|Corduente|Embid|Esplegares|Establés|Fuembellida|Fuentelsaz|Herrería|Hombrados|Huertahernando|Iniéstola|La Yunta|Luzaga|Luzón|Maranchón|Mazarete|Megina|Milmarcos|Mochales|Molina de Aragón|Morenilla|Ocentejo|Olmeda de Cobeta|Orea|Pardos|Pedregal (El)|Peñalén|Peralejos de las Truchas|Pinilla de Molina|Piqueras|Pobo de Dueñas (El)|Poveda de la Sierra|Prados|Recuenco (El)|Redondos|Riba de Saelices|Rillo de Gallo|Rueda de la Sierra|Sacecorbo|Saelices de la Sal|Selas|Setiles|Taravilla|Tartanedo|Terzaga|Tierzo|Tordellego|Tordesilos|Torrecuadrada de Molina|Torrecuadradilla|Torremocha del Pinar|Torremochuela|Torrubia|Tortuera|Traíd|Vaihermoso|Valtablado del Río|Villanueva de Alcorón|Villel de Mesa|Zaorejas
5971;Asociación para el Desarrollo de la Alcarria y la Campiña (ADAC);GUADALAJARA;Alarilla|Aldeanueva de Guadalajara|Atanzón|Campillo de Ranas|Cañizar|Casa de Uceda|Casas de San Galindo|Caspueñas|Ciruelas|Copernal|El Cardoso de la Sierra|El Casar|El Cubillo de Uceda|Espinosa de Henares|Fontanar|Fuencemillán|Fuentelahiguera de Albatages|Galápagos|Heras de Ayuso|Hita|Humanes|Majaelrayo|Málaga del Fresno|Malaguilla|Marchamalo|Matarrubia|Miralrío|Mohernando|Montarrón|Muduex|Puebla de Beleña|Quer|Robledillo de Mohernando|Taragudo|Torija|Torre del Burgo|Torrejón del Rey|Tórtola de Henares|Tortuero|Trijueque|Uceda|Valdearenas|Valdeavellano|Valdeaveruelo|Valdegrudas|Valdenuño-Fernández|Valdepeñas de la Sierra|Villanueva de Argecilla|Villanueva de la Torre|Villaseca de Uceda|Viñuelas|Yunquera de Henares
5973;Asociación para el Desarrollo de la Alcarria Sur (ADASUR);GUADALAJARA;Albalate de Zorita|Albares|Alhóndiga|Almoguera|Almonacid de Zorita|Alovera|Aranzueque|Armuña de Tajuña|Cabanillas del Campo|Chiloeches|Driebes|Escariche|Escopete|Fuentelencina|Fuentelviejo|Fuentenovilla|Hontoba|Horche|Hueva|Illana|Loranca de Tajuña|Mazuecos|Mondejar|Moratilla de los Meleros|Pastrana|Pioz|Pozo de Almoguera|Pozo de Guadalajara|Renera|Sayatón|Valdeconcha|Yebes|Yebra|Zorita de los Canes
5975;Asociación para el Desarrollo Local de la Sierra Norte de Guadalajara (ADEL);GUADALAJARA;Abánades|Alaminos|Albendiego|Alcolea de las Peñas|Algora|Angón|Arbancón|Arroyo de Fraguas|Atienza|Baides|Bañuelos|Bujalaro|Bustares|Campisábalos|Cantalojas|Castejón de Henares|Cendejas de Enmedio|Cendejas de la Torre|Cincovillas|Cogolludo|Condemios de Abajo|Condemios de Arriba|Congostrina|El Ordial|El Sotillo|Estriégana|Galve de Sorbe|Gascueña de Bornova|Hiendelaencina|Hijes|Huérmeces del Cerro|Jadraque|Jirueque|La Bodera|La Hortezuela de Océn|La Huerce|La Mierla|La Miñosa|La Olmeda de Jadraque|La Toba|Las Inviernas|Las Navas de Jadraque|Mandayona|Matillas|Medranda|Membrillera|Miedes de Atienza|Mirabueno|Monasterio|Negredo|Pálmaces de Jadraque|Paredes de Sigüenza|Pinilla de Jadraque|Prádena de Atienza|Puebla de Valles|Rebollosa de Jadraque|Retiendas|Riofrío del Llano|Robledo de Corpes|Romanillos de Atienza|San Andrés del Congosto|Santiuste|Saúca|Semillas|Sienes|Sigüenza|Somolinos|Sotodosos|Tamajón|Tordelrábano|Torremocha de Jadraque|Torremocha del Campo|Ujados|Valdelcubo|Valdesotos|Valverde de los Arroyos|Viana de Jadraque|Villares de Jadraque|Villaseca de Henares|Zarzuela de Jadraque
5977;Federación de Asociaciones para el Desarrollo Territorial del Tajo-Tajuña (FADETA);GUADALAJARA;Alcocer|Alique|Almadrones|Alocén|Argecilla|Auñón|Barriopedro|Berninches|Brihuega|Budia|Castilforte|Centenera|Chillarón del Rey|Cifuentes|Cogollor|Durón|El Olivar|Escamilla|Gajanejos|Henche|Irueste|Ledanca|Lupiana|Mantiel|Masegoso de Tajuña|Millana|Pareja|Peñalver|Peralveche|Romanones|Sacedón|Salmerón|San Andrés del Rey|Solanillos del Extremo|Tendilla|Trillo|Utande|Valderrebollo|Valfermoso de Tajuña|Yélamos de Abajo|Yélamos de Arriba
5979;Asociación para el Desarrollo de la Comarca de Talavera;TOLEDO;Alcaudete de la Jara|Aldeanueva de Barbarroya|Aldeanueva de San Bartolomé|Almendral de la Cañada|Belvís de la Jara|Buenaventura|Campillo de la Jara|Cardiel de los Montes|Castillo de Bayuela|Cazalegas|Cebolla|Cervera de los Montes|Espinoso del Rey|Garciotún|Hinojosa de San Vicente|La Estrella|La Iglesuela|La Pueblanueva|Las Herencias|Los Cerralbos|Lucillos|Marrupe|Mohedas de la Jara|Montearagón|Nava de Ricomalillo|Navamorcuende|Nuño Gómez|Pelahustán|Pepino|Puerto de San Vicente|Real de San Vicente|Retamoso|Robledo del Mazo|San Román de los Montes|Sartajada|Sevilleja de la Jara|Sotillo de las Palomas|Torrecilla de la Jara
5981;Asociación Comarcal Castillos del Medio Tajo;TOLEDO;Albarreal de Tajo|Alcabón|Aldea en Cabo|Almorox|Arcicollar|Barcience|Burujón|Camarena|Camarenilla|Carmena|Carranque|Carriches|Cedillo del Condado|Chozas de Canales|Domingo Pérez|El Carpio de Tajo|El Casar de Escalona|El Viso de San Juan|Erustes|Escalona|Escalonilla|Fuensalida|Gerindote|Hormigos|Huecas|La Mata|La Puebla de Montalbán|La Torre de Esteban Hambrán|Las Ventas de Retamosa|Malpica del Tajo|Maqueda|Méntrida|Mesegar de Tajo|Nombela|Novés|Otero|Palomeque|Paredes de Escalona|Portillo de Toledo|Quismondo|Rielves|Santa Cruz del Retamar|Santa Olalla|Santo Domingo-Caudilla|Torrijos|Ugena|Villamiel de Toledo
5983;Asociación Comarcal Don Quijote de La Mancha;TOLEDO;Cabañas de Yepes|Ciruelos|Dosbarrios|Huerta de Valdecarábanos|La Guardia|Lillo|Noblejas|Ocaña|Ontígola|Santa Cruz de la Zarza|Villamuelas|Villanueva de Bogas|Villarrubia de Santiago|Villasequilla|Villatobas|Yepes
5985;Asociación para el Desarrollo de la Campana de Oropesa (ADECOR);TOLEDO;Alberche del Caudillo|Alcañizo|Alcolea de Tajo|Azután|Calera y Chozas|Caleruela|El Bercial|El Puente del Arzobispo|El Torrico|Herreruela de Oropesa|La Calzada de Oropesa|Lagartera|Mejorada|Montesclaros|Navalcán|Navalmoralejo|Oropesa|Parrillas|Segurilla|Torralba de Oropesa|Valdeverdeja|Velada|Ventas de San Julián
5987;"Asociación para el Desarrollo Integrado del Territorio ""Montes Toledanos""";TOLEDO;Ajofrín|Almonacid de Toledo|Burguillos|Casasbuenas|Chueca|Cobisa|Consuegra|Cuerva|Gálvez|Guadamur|Hontanar|Las Ventas con Peña Aguilera|Layos|Los Navalmorales|Los Yébenes|Manzaneque|Marjaliza|Mascaraque|Mazarambroz|Menasalbas|Mora|Nambroca|Navahermosa|Noez|Polán|Pulgar|San Bartolomé de las Abiertas|San Martín de Montalbán|San Martín de Pusa|San Pablo de los Montes|Santa Ana de Pusa|Totanés|Urda|Villaminaya|Villarejo de Montalbán
5989;Asociación Grupo de Acción Local Dulcinea;TOLEDO;Cabezamesada|Camuñas|Corral de Almaguer|El Romeral|El Toboso|Madridejos|Miguel Esteban|Puebla de Almoradiel|Quero|Quintanar de la Orden|Tembleque|Turleque|Villa de Don Fadrique|Villacañas|Villafranca de los Caballeros|Villanueva de Alcardete
